Htno,Subcode,Subname,Grade,Credits
16T91A0303,R1631032,METAL CUTTING & MACHINE TOOLS,C,3
16T91A0303,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16T91A0303,R1631034,OPERATIONS RESEARCH,F,0
16T91A0303,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0303,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0303,R1631037,MACHINE TOOLS LAB,S,2
16T91A0303,R1631038,THERMAL ENGINEERING LAB,S,2
16T91A0304,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0304,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16T91A0304,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16T91A0304,R1631034,OPERATIONS RESEARCH,D,3
16T91A0304,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0304,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0304,R1631037,MACHINE TOOLS LAB,S,2
16T91A0304,R1631038,THERMAL ENGINEERING LAB,S,2
16T91A0305,R1631031,DYNAMICS OF MACHINERY,C,3
16T91A0305,R1631032,METAL CUTTING & MACHINE TOOLS,B,3
16T91A0305,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16T91A0305,R1631034,OPERATIONS RESEARCH,C,3
16T91A0305,R1631035,THERMAL ENGINEERING -II,A,3
16T91A0305,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0305,R1631037,MACHINE TOOLS LAB,O,2
16T91A0305,R1631038,THERMAL ENGINEERING LAB,O,2
16T91A0306,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0306,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16T91A0306,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16T91A0306,R1631034,OPERATIONS RESEARCH,B,3
16T91A0306,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0306,R1631036,THEORY OF MACHINES LAB,ABSENT,0
16T91A0306,R1631037,MACHINE TOOLS LAB,ABSENT,0
16T91A0306,R1631038,THERMAL ENGINEERING LAB,ABSENT,0
16T91A0307,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0307,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0307,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16T91A0307,R1631034,OPERATIONS RESEARCH,B,3
16T91A0307,R1631035,THERMAL ENGINEERING -II,C,3
16T91A0307,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0307,R1631037,MACHINE TOOLS LAB,O,2
16T91A0307,R1631038,THERMAL ENGINEERING LAB,S,2
16T91A0308,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0308,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0308,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0308,R1631034,OPERATIONS RESEARCH,F,0
16T91A0308,R1631035,THERMAL ENGINEERING -II,F,0
Htno,Subcode,Subname,Grade,Credits
16T91A0308,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0308,R1631037,MACHINE TOOLS LAB,S,2
16T91A0308,R1631038,THERMAL ENGINEERING LAB,A,2
16T91A0309,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0309,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0309,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0309,R1631034,OPERATIONS RESEARCH,F,0
16T91A0309,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0309,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0309,R1631037,MACHINE TOOLS LAB,A,2
16T91A0309,R1631038,THERMAL ENGINEERING LAB,A,2
16T91A0310,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0310,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0310,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0310,R1631034,OPERATIONS RESEARCH,D,3
16T91A0310,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0310,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0310,R1631037,MACHINE TOOLS LAB,A,2
16T91A0310,R1631038,THERMAL ENGINEERING LAB,A,2
16T91A0312,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0312,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0312,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0312,R1631034,OPERATIONS RESEARCH,F,0
16T91A0312,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0312,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0312,R1631037,MACHINE TOOLS LAB,A,2
16T91A0312,R1631038,THERMAL ENGINEERING LAB,A,2
16T91A0313,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0313,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0313,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0313,R1631034,OPERATIONS RESEARCH,D,3
16T91A0313,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0313,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0313,R1631037,MACHINE TOOLS LAB,A,2
16T91A0313,R1631038,THERMAL ENGINEERING LAB,S,2
16T91A0314,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0314,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0314,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16T91A0314,R1631034,OPERATIONS RESEARCH,F,0
16T91A0314,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0314,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0314,R1631037,MACHINE TOOLS LAB,B,2
16T91A0314,R1631038,THERMAL ENGINEERING LAB,A,2
16T91A0315,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0315,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16T91A0315,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0315,R1631034,OPERATIONS RESEARCH,F,0
16T91A0315,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0315,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0315,R1631037,MACHINE TOOLS LAB,S,2
16T91A0315,R1631038,THERMAL ENGINEERING LAB,A,2
Htno,Subcode,Subname,Grade,Credits
16T91A0316,R1631031,DYNAMICS OF MACHINERY,C,3
16T91A0316,R1631032,METAL CUTTING & MACHINE TOOLS,A,3
16T91A0316,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16T91A0316,R1631034,OPERATIONS RESEARCH,B,3
16T91A0316,R1631035,THERMAL ENGINEERING -II,C,3
16T91A0316,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0316,R1631037,MACHINE TOOLS LAB,O,2
16T91A0316,R1631038,THERMAL ENGINEERING LAB,O,2
16T91A0318,R1631031,DYNAMICS OF MACHINERY,D,3
16T91A0318,R1631032,METAL CUTTING & MACHINE TOOLS,B,3
16T91A0318,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16T91A0318,R1631034,OPERATIONS RESEARCH,C,3
16T91A0318,R1631035,THERMAL ENGINEERING -II,C,3
16T91A0318,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0318,R1631037,MACHINE TOOLS LAB,O,2
